Date,Company,Role,Link,ATS score
09/10/22,Goldman Sachs,Engineering- Site Reliability Engineer Sec DB- VP- New York,https://www.linkedin.com/jobs/view/externalApply/2908455923?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F92207%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=AHk3&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=nRHK6u%2F3ibuczshfiEZW8A%3D%3D&trk=public_jobs_apply-link-offsite,5.72%
09/10/22,Goldman Sachs,Engineering- Data Science and Machine Learning- Senior Machine Learning Engineer,https://www.linkedin.com/jobs/view/externalApply/2920024269?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F93790%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=Okf3&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=a5J%2BdPCmnNOZm5wU2X1jeg%3D%3D&trk=public_jobs_apply-link-offsite,5.85%
09/10/22,Goldman Sachs,Quantitative Engineer -FICC Resource Management Strats - Dallas,https://www.linkedin.com/jobs/view/externalApply/3137950347?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F103271%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=DbG1&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=cT%2FJAZ8CAR598z7KfwtFtg%3D%3D&trk=public_jobs_apply-link-offsite,5.38%
09/10/22,Goldman Sachs,Associate - ENGG5242708,https://www.linkedin.com/jobs/view/externalApply/2984654159?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F84301%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=ikeR&refId=PNCVseghPZCqgcEixi1U%2Bw%3D%3D&trackingId=tB39UBdQrKYv%2BnY%2FYTrwUw%3D%3D&trk=public_jobs_apply-link-offsite,7.06%
09/10/22,Goldman Sachs,Loans Engineering - Associate/VP – Senior Developer -Dallas,https://www.linkedin.com/jobs/view/externalApply/3188956011?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F104172%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=6Rht&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=WW7%2F5bJgku%2B7zrOV7yBTqA%3D%3D&trk=public_jobs_apply-link-offsite,3.72%
09/10/22,Goldman Sachs,Consumer Wealth & Management-GreenSky-Associate Software Engineering-Atlanta GA/Remote,https://www.linkedin.com/jobs/view/externalApply/3184371053?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F103851%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=hjAw&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=9tEH%2Fuuy0Ia0EEo2d%2B%2BmUw%3D%3D&trk=public_jobs_apply-link-offsite,5.49%
09/10/22,Goldman Sachs,Cloud Connectivity Software Engineer - Vice President,https://www.linkedin.com/jobs/view/externalApply/3047506207?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F100073%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=pHu7&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=YT%2FXGuna%2BIrKdSyOuvhXJQ%3D%3D&trk=public_jobs_apply-link-offsite,11.26%
09/10/22,Goldman Sachs,Associate DevOps Engineer Consumer and Wealth Mgmt Division,https://www.linkedin.com/jobs/view/externalApply/2904357770?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F90908%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=_MC7&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=2PT5sjFy3x8RUK1irCwxrw%3D%3D&trk=public_jobs_apply-link-offsite,6.14%
09/10/22,Goldman Sachs,Credit Risk Risk Engineering Analytics & Reporting-SALT LAKE CITY-Analyst,https://www.linkedin.com/jobs/view/externalApply/3226066351?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F102274%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=7tQY&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=PKZxCHVMDFqIJf9H6S7VJA%3D%3D&trk=public_jobs_apply-link-offsite,4.39%
09/10/22,Goldman Sachs,Platform Data Engineer Associate - Consumer and Wealth Mgmt Division,https://www.linkedin.com/jobs/view/externalApply/3046242979?url=https%3A%2F%2Fhdpc%2Efa%2Eus2%2Eoraclecloud%2Ecom%2FhcmUI%2FCandidateExperience%2Fen%2Fjob%2F99783%2F%3Futm_medium%3Djobshare%26mode%3Djob%26iis%3DLinkedIn&urlHash=JyO4&refId=vz%2FMeatcI5FrxQpY1qyb5Q%3D%3D&trackingId=9GTR73zJXCmu8DfeYLjfHA%3D%3D&trk=public_jobs_apply-link-offsite,5.13%
