Company Name,Role,Job link, Similarity Score 
Amazon,Amazon Robotics - Hardware Test Engineer Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3287561723?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2253022%2Famazon-robotics--hardware-test-engineer-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=wfXs&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=FtzYv0NW9%2FM3ey5B8nWqjQ%3D%3D&trk=public_jobs_apply-link-offsite,8.06%
Amazon,Quality Assurance Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179914188?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141837%2Fquality-assurance-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=0d4k&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=mupPJyXRWxg%2BlJ9HuaFz5w%3D%3D&trk=public_jobs_apply-link-offsite,5.91%
Amazon,2023 Machine Learning Intern - Masters Students Global Engineering Services (GES),https://www.linkedin.com/jobs/view/externalApply/3253550357?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2230464%2F-machine-learning-intern--masters-students-global-engineering-services-ges%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=IsB-&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=hIsw6Tz%2FSbmHwt4JmbGYVA%3D%3D&trk=public_jobs_apply-link-offsite,10.33%
Amazon,Application-Specific Integrated Circuit (ASIC) Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179376167?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141738%2Fapplicationspecific-integrated-circuit-asic-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=yG7y&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=2Y5qrzaLZnv5z6qCa47JCw%3D%3D&trk=public_jobs_apply-link-offsite,5.99%
Amazon,2023 Applied Science Internship - Automated Reasoning - United States,https://www.linkedin.com/jobs/view/externalApply/3184415161?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2173372%2F-applied-science-internship--automated-reasoning--united-states%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=j6hL&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=haZTdZeNGPnDp%2FSVWga3QQ%3D%3D&trk=public_jobs_apply-link-offsite,8.51%
Amazon,Front-End Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3209046770?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141835%2Ffrontend-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=-E7X&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=DGrWlgxU%2BldeRqDqPtfobg%3D%3D&trk=public_jobs_apply-link-offsite,6.43%
Amazon,Amazon Robotics - Hardware Engineer Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3272642402?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2243955%2Famazon-robotics--hardware-engineer-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=mN-G&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=NmIeXerifsAy8EOLK9%2BaFw%3D%3D&trk=public_jobs_apply-link-offsite,3.43%
Amazon,Hardware Development Engineer Internship Developing Engineers Program – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179375266?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141740%2Fhardware-development-engineer-internship-developing-engineers-program---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=Rsdi&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=YCz0ckfmWd8JuNVSXjmeBQ%3D%3D&trk=public_jobs_apply-link-offsite,6.16%
Amazon,Quality Assurance Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179914188?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141837%2Fquality-assurance-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=0d4k&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=vzJwJFPcUUUX5TS2u0H%2FzQ%3D%3D&trk=public_jobs_apply-link-offsite,5.91%
Amazon,Amazon Robotics - Embedded Software Intern - Summer 2023 Amazon Robotics Sensor Team,https://www.linkedin.com/jobs/view/externalApply/3281732533?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2256322%2Famazon-robotics--embedded-software-intern--summer--amazon-robotics-sensor-team%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=f1oe&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=463oBh2Yf81AzYG8QQnUcg%3D%3D&trk=public_jobs_apply-link-offsite,10.84%
